                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.55498,                0.97683,                0.61743,                0.97294,                0.84303,                 0.8377,                0.87044,                0.73365,                0.84356,                 0.8355,                0.86731,                0.70762,                0.57764,                 1.1423,                0.67246,                0.92683,              0.0007624,              0.0007624,              0.0007624
                     26,                0.55283,                0.97064,                0.61101,                0.97203,                0.84828,                0.83932,                0.86851,                0.73353,                0.85075,                0.84077,                0.86789,                0.70422,                0.56987,                 1.1514,                0.67413,                0.91994,              0.0007525,              0.0007525,              0.0007525
                     27,                0.55197,                0.97792,                0.60998,                0.97235,                0.83265,                0.85354,                0.86868,                0.73207,                0.83195,                0.85367,                0.86587,                0.70302,                0.57434,                  1.159,                0.67667,                0.93253,              0.0007426,              0.0007426,              0.0007426
                     28,                 0.5486,                0.96968,                0.60437,                0.97211,                0.83889,                0.84713,                0.86566,                0.72935,                0.83951,                0.84562,                0.86264,                0.70125,                0.57462,                 1.1253,                 0.6918,                0.93139,              0.0007327,              0.0007327,              0.0007327
                     29,                0.54391,                0.96143,                0.59521,                0.96679,                0.82048,                0.85954,                 0.8695,                0.73254,                 0.8178,                0.85638,                0.86412,                0.70656,                 0.5684,                 1.1387,                0.67796,                0.92215,              0.0007228,              0.0007228,              0.0007228
                     30,                0.54446,                0.96271,                 0.5956,                0.96617,                0.85008,                0.83415,                0.86673,                0.73174,                0.85108,                0.83537,                0.86424,                0.70462,                0.56247,                 1.1417,                0.68124,                0.91879,              0.0007129,              0.0007129,              0.0007129
                     31,                0.54176,                0.95234,                 0.5889,                0.96494,                0.84456,                0.84309,                 0.8693,                0.73999,                0.84744,                0.84525,                0.86863,                0.71384,                0.56296,                 1.1361,                0.65993,                0.91475,               0.000703,               0.000703,               0.000703
                     32,                0.53498,                0.94027,                0.58489,                 0.9622,                 0.8377,                0.85195,                0.86819,                0.73571,                  0.843,                 0.8484,                0.86823,                0.71056,                0.56952,                 1.1706,                0.67882,                0.93115,              0.0006931,              0.0006931,              0.0006931
                     33,                0.53689,                0.94015,                0.58406,                0.96351,                0.85594,                0.83856,                0.87003,                0.73908,                0.85525,                0.83877,                0.86806,                0.70914,                0.56792,                 1.1835,                0.67082,                0.92951,              0.0006832,              0.0006832,              0.0006832
                     34,                0.53152,                0.93474,                0.57251,                0.95951,                 0.8519,                0.83843,                0.86622,                0.73707,                0.85223,                0.83852,                0.86459,                0.70776,                0.56419,                 1.1568,                0.65725,                0.92399,              0.0006733,              0.0006733,              0.0006733
                     35,                0.53162,                0.93497,                0.57464,                0.96188,                0.83163,                0.84954,                0.86665,                0.73697,                0.83239,                0.84919,                0.86483,                0.70733,                  0.563,                 1.1732,                0.65402,                0.92522,              0.0006634,              0.0006634,              0.0006634
                     36,                 0.5291,                0.92361,                0.56769,                 0.9596,                0.85357,                0.83107,                0.86949,                0.73719,                0.86617,                0.83026,                 0.8692,                0.70978,                0.56626,                  1.175,                0.66785,                0.92461,              0.0006535,              0.0006535,              0.0006535
                     37,                0.52841,                0.92004,                0.56432,                0.95821,                0.84657,                 0.8415,                0.86767,                0.73683,                0.85089,                 0.8413,                0.86684,                 0.7071,                0.56761,                 1.1676,                 0.6645,                0.92962,              0.0006436,              0.0006436,              0.0006436
                     38,                0.52529,                0.91223,                0.55808,                0.95685,                0.83096,                0.85633,                0.87179,                0.74166,                0.84025,                 0.8534,                0.87077,                0.71036,                 0.5628,                 1.1688,                0.66477,                0.92413,              0.0006337,              0.0006337,              0.0006337
                     39,                0.52176,                0.91314,                 0.5559,                0.95501,                0.84671,                0.84854,                0.87101,                0.73923,                0.85169,                 0.8449,                0.86967,                 0.7129,                0.55658,                 1.1798,                0.67173,                0.91958,              0.0006238,              0.0006238,              0.0006238
                     40,                0.52262,                0.91486,                0.55583,                 0.9549,                0.85392,                0.84057,                0.86841,                0.73878,                0.85408,                0.84173,                0.86755,                0.71103,                0.56439,                 1.1661,                0.66217,                0.93182,              0.0006139,              0.0006139,              0.0006139
                     41,                0.52063,                 0.9072,                0.55211,                0.95562,                0.84001,                0.85426,                 0.8692,                0.74028,                0.85403,                0.84325,                0.86835,                0.71035,                0.56115,                  1.184,                0.66164,                0.93109,               0.000604,               0.000604,               0.000604
                     42,                0.51834,                0.90476,                0.54964,                0.95366,                0.84919,                0.85173,                0.86905,                0.74126,                0.85404,                0.84482,                0.86743,                0.71031,                0.55823,                 1.2005,                0.66412,                0.93189,              0.0005941,              0.0005941,              0.0005941
                     43,                0.51299,                0.89588,                0.53823,                0.95122,                0.84552,                0.85133,                0.87035,                0.74106,                0.84576,                0.85199,                0.87049,                0.71139,                0.55531,                 1.2052,                0.65843,                0.92849,              0.0005842,              0.0005842,              0.0005842
                     44,                0.51207,                0.89306,                0.53554,                 0.9514,                 0.8434,                0.84856,                0.86916,                0.73914,                0.84974,                0.84792,                0.87102,                0.71049,                0.55775,                 1.2105,                0.66255,                0.93142,              0.0005743,              0.0005743,              0.0005743
                     45,                0.51102,                0.89535,                0.53586,                0.95058,                0.84472,                0.84783,                 0.8684,                0.73904,                0.85537,                0.83998,                0.86902,                0.71007,                0.55527,                 1.1977,                0.66655,                0.92812,              0.0005644,              0.0005644,              0.0005644
                     46,                0.51036,                0.88629,                0.53218,                0.95022,                0.85407,                0.84396,                0.86991,                0.74019,                0.85621,                0.84374,                  0.868,                0.71178,                 0.5601,                 1.2028,                0.65912,                0.93479,              0.0005545,              0.0005545,              0.0005545
                     47,                0.50801,                0.88661,                0.53051,                0.94797,                0.85266,                0.84553,                0.87155,                0.74086,                0.85591,                0.84317,                0.86884,                0.71136,                0.55851,                 1.2111,                0.65192,                0.93173,              0.0005446,              0.0005446,              0.0005446
                     48,                0.50554,                0.88091,                 0.5253,                0.94617,                0.85236,                0.83943,                 0.8694,                0.74046,                0.85409,                0.84099,                0.86772,                0.71024,                0.55556,                 1.2131,                0.65811,                0.92883,              0.0005347,              0.0005347,              0.0005347
                     49,                0.50394,                0.87494,                0.52212,                 0.9457,                0.85277,                0.84319,                0.86936,                0.74032,                0.84958,                0.84476,                0.86686,                0.71105,                0.55688,                 1.2172,                0.66212,                0.93167,              0.0005248,              0.0005248,              0.0005248
                     50,                0.50271,                0.87685,                0.52251,                 0.9454,                0.85512,                0.84498,                0.87016,                0.74208,                0.85309,                0.84596,                0.86783,                0.71132,                0.55425,                 1.2172,                0.65373,                0.92921,              0.0005149,              0.0005149,              0.0005149
                     51,                0.49942,                0.86989,                0.51726,                0.94337,                0.84531,                0.85077,                0.87029,                0.74235,                0.84515,                0.85131,                0.86788,                0.71044,                0.55926,                 1.2217,                0.65629,                0.93463,               0.000505,               0.000505,               0.000505
                     52,                0.49921,                0.86681,                0.51418,                0.94302,                0.84652,                0.84974,                0.86975,                0.74198,                0.84679,                0.85194,                0.86823,                0.71015,                0.55649,                 1.2215,                0.65773,                0.93132,              0.0004951,              0.0004951,              0.0004951
                     53,                  0.496,                0.85987,                0.50889,                0.94069,                0.83912,                0.85648,                0.87032,                0.74259,                0.83841,                0.86133,                0.86888,                0.71121,                0.55387,                  1.221,                0.66491,                0.92841,              0.0004852,              0.0004852,              0.0004852
                     54,                0.49429,                0.86136,                0.50887,                0.94153,                0.84034,                0.85671,                0.86749,                0.74103,                0.83961,                 0.8542,                0.86641,                0.70835,                0.55238,                 1.2188,                0.67256,                0.92644,              0.0004753,              0.0004753,              0.0004753
                     55,                0.49212,                0.85898,                0.50225,                0.93796,                0.83318,                0.86217,                 0.8672,                 0.7405,                0.83332,                0.86319,                0.86598,                0.70803,                0.55034,                 1.2225,                0.67628,                0.92431,              0.0004654,              0.0004654,              0.0004654
                     56,                 0.4913,                0.84687,                0.50123,                0.93959,                0.83459,                0.85929,                0.86672,                0.74093,                0.83507,                0.86033,                0.86514,                0.70862,                 0.5508,                 1.2241,                0.67987,                0.92618,              0.0004555,              0.0004555,              0.0004555
                     57,                  0.488,                0.85214,                0.49527,                0.93664,                0.84364,                0.85153,                0.86594,                0.74018,                0.84432,                0.85278,                0.86408,                0.70834,                0.55234,                 1.2241,                0.68074,                0.92845,              0.0004456,              0.0004456,              0.0004456
                     58,                0.48827,                0.84212,                0.49663,                0.93742,                0.84711,                0.84844,                0.86561,                0.74006,                0.84858,                0.85178,                0.86367,                0.70715,                0.55152,                 1.2251,                0.67913,                0.92779,              0.0004357,              0.0004357,              0.0004357
                     59,                0.48598,                0.84356,                0.49235,                0.93591,                0.84608,                 0.8532,                0.86571,                0.74095,                0.84715,                0.85332,                0.86365,                 0.7072,                0.55014,                 1.2217,                0.67798,                0.92728,              0.0004258,              0.0004258,              0.0004258
                     60,                 0.4825,                0.84081,                0.48797,                0.93512,                 0.8512,                0.84877,                0.86446,                0.74055,                0.85023,                0.85179,                0.86362,                0.70713,                0.54956,                 1.2296,                0.67463,                0.92688,              0.0004159,              0.0004159,              0.0004159
