                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.83544,                  1.938,                  1.243,                  1.152,                0.82484,                0.83376,                0.84877,                0.69845,                0.83365,                 0.8252,                0.84697,                0.67647,                0.64643,                 1.1211,                0.78733,                 1.0054,              9.241e-05,              9.241e-05,              9.241e-05
                     25,                0.83342,                 1.9433,                 1.2458,                 1.1511,                0.84472,                 0.8074,                0.84814,                0.69795,                0.84747,                0.80746,                 0.8448,                0.67199,                0.63612,                 1.1136,                0.78237,                0.99705,              9.208e-05,              9.208e-05,              9.208e-05
                     26,                0.83297,                 1.9414,                  1.237,                 1.1514,                0.82981,                 0.8279,                0.85106,                0.70123,                0.82905,                0.83136,                0.84781,                0.67821,                0.63991,                 1.1098,                0.76841,                 1.0001,              9.175e-05,              9.175e-05,              9.175e-05
                     27,                0.83087,                 1.9362,                 1.2312,                 1.1496,                0.83966,                0.82082,                0.84972,                0.70055,                0.85337,                0.81146,                0.84686,                0.67687,                0.63572,                  1.106,                0.78038,                0.99563,              9.142e-05,              9.142e-05,              9.142e-05
                     28,                0.83224,                 1.9425,                  1.228,                 1.1515,                0.83764,                0.82842,                0.85197,                0.70482,                0.83975,                0.83064,                0.85069,                0.67978,                0.63411,                 1.0962,                0.76016,                 1.0019,              9.109e-05,              9.109e-05,              9.109e-05
                     29,                0.82798,                 1.9261,                 1.2204,                 1.1482,                0.82162,                0.83362,                  0.853,                0.70512,                0.82509,                0.83661,                0.85207,                0.68076,                 0.6355,                 1.0986,                0.76936,                0.99561,              9.076e-05,              9.076e-05,              9.076e-05
                     30,                0.82971,                 1.9197,                 1.2169,                 1.1497,                 0.8408,                0.82282,                0.85285,                0.70698,                0.84217,                0.82045,                0.84919,                0.68087,                0.63193,                 1.1066,                0.75971,                0.99847,              9.043e-05,              9.043e-05,              9.043e-05
                     31,                 0.8253,                 1.9287,                 1.2129,                 1.1485,                0.83574,                 0.8324,                0.85396,                 0.7078,                0.83884,                0.83195,                0.85077,                0.67928,                0.62156,                 1.1015,                0.75459,                0.98876,               9.01e-05,               9.01e-05,               9.01e-05
                     32,                0.82915,                 1.9299,                  1.213,                 1.1486,                0.84478,                0.82522,                 0.8548,                0.71049,                0.84956,                 0.8244,                0.85303,                0.68232,                0.62362,                   1.11,                0.75357,                0.98953,              8.977e-05,              8.977e-05,              8.977e-05
                     33,                0.82276,                 1.9103,                 1.1993,                 1.1454,                 0.8469,                 0.8341,                0.85702,                0.71073,                0.84688,                0.83391,                0.85451,                0.68251,                0.62146,                 1.1078,                0.74862,                0.98581,              8.944e-05,              8.944e-05,              8.944e-05
                     34,                 0.8266,                 1.9102,                 1.1993,                 1.1469,                0.84015,                0.82621,                0.85327,                0.70802,                0.84959,                0.82309,                0.85137,                0.68102,                0.62596,                 1.1074,                0.75183,                0.99084,              8.911e-05,              8.911e-05,              8.911e-05
                     35,                0.82688,                 1.9185,                 1.1954,                 1.1471,                0.83987,                 0.8309,                 0.8525,                0.70631,                0.84522,                0.83145,                0.85212,                0.68182,                0.62989,                 1.1025,                0.75038,                0.99296,              8.878e-05,              8.878e-05,              8.878e-05
                     36,                0.82503,                 1.9139,                 1.1941,                 1.1467,                0.83623,                0.83682,                0.85685,                0.71196,                  0.845,                0.83466,                0.85617,                0.68622,                0.62449,                 1.1047,                0.74134,                0.98965,              8.845e-05,              8.845e-05,              8.845e-05
                     37,                0.82746,                 1.9208,                 1.1992,                 1.1484,                 0.8526,                0.82558,                 0.8563,                0.71226,                0.85311,                 0.8275,                0.85383,                0.68611,                0.62499,                 1.0979,                0.74032,                0.98857,              8.812e-05,              8.812e-05,              8.812e-05
                     38,                 0.8268,                 1.9108,                 1.1896,                 1.1472,                0.85127,                0.82678,                0.85611,                0.71336,                0.85185,                0.82722,                0.85349,                0.68535,                0.62561,                 1.0989,                0.74015,                0.98975,              8.779e-05,              8.779e-05,              8.779e-05
                     39,                0.82127,                 1.9033,                  1.183,                 1.1435,                0.84714,                0.82808,                0.85803,                 0.7144,                0.84771,                0.82643,                0.85366,                0.68678,                0.62244,                 1.1023,                0.73744,                0.98796,              8.746e-05,              8.746e-05,              8.746e-05
                     40,                0.82479,                 1.9034,                 1.1842,                 1.1454,                0.84366,                0.83041,                0.85568,                 0.7169,                0.84671,                0.83361,                0.85486,                0.68837,                0.62187,                 1.1054,                0.73135,                0.98719,              8.713e-05,              8.713e-05,              8.713e-05
                     41,                0.82169,                 1.9011,                 1.1818,                 1.1442,                0.83389,                0.83997,                 0.8561,                0.71675,                0.84214,                0.83478,                0.85505,                0.68771,                0.62017,                 1.0987,                 0.7314,                0.98696,               8.68e-05,               8.68e-05,               8.68e-05
                     42,                 0.8211,                 1.9027,                 1.1797,                 1.1451,                0.83995,                0.83034,                0.85452,                0.71446,                0.85241,                0.82924,                0.85488,                0.68773,                0.62158,                 1.0973,                0.73036,                0.98795,              8.647e-05,              8.647e-05,              8.647e-05
                     43,                0.81993,                 1.8969,                  1.176,                 1.1449,                0.82916,                0.84271,                0.85574,                 0.7155,                0.83685,                0.84317,                0.85638,                0.68813,                0.61696,                 1.0955,                0.72823,                0.98478,              8.614e-05,              8.614e-05,              8.614e-05
                     44,                0.82367,                 1.8975,                 1.1749,                 1.1448,                0.83524,                0.83731,                0.85549,                0.71484,                0.84584,                0.83072,                0.85525,                0.68759,                 0.6154,                 1.0979,                0.73158,                0.98313,              8.581e-05,              8.581e-05,              8.581e-05
                     45,                0.82238,                 1.8959,                 1.1737,                 1.1454,                0.83616,                0.83312,                0.85385,                0.71206,                0.83993,                0.83432,                0.85261,                0.68499,                0.61874,                 1.0982,                0.73058,                0.98473,              8.548e-05,              8.548e-05,              8.548e-05
                     46,                0.81777,                 1.8959,                  1.165,                 1.1422,                0.83271,                0.83795,                0.85462,                0.71387,                0.84181,                0.83626,                0.85343,                0.68495,                0.61571,                 1.0982,                0.72741,                0.98245,              8.515e-05,              8.515e-05,              8.515e-05
                     47,                0.82117,                  1.901,                 1.1706,                 1.1438,                0.83706,                0.83234,                0.85573,                0.71563,                0.84305,                0.83229,                0.85534,                 0.6869,                0.61562,                 1.0981,                0.72447,                0.98398,              8.482e-05,              8.482e-05,              8.482e-05
                     48,                0.82126,                 1.8932,                 1.1672,                 1.1453,                0.85124,                0.82348,                0.85701,                0.71741,                0.85102,                0.82594,                0.85572,                 0.6883,                0.61343,                 1.0968,                0.72233,                0.98176,              8.449e-05,              8.449e-05,              8.449e-05
