                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.8112,                 1.8843,                 1.1723,                 1.1435,                0.83019,                0.84198,                0.85639,                0.70732,                0.83123,                0.83957,                0.85222,                 0.6835,                0.64829,                 1.1335,                0.78155,                 1.0059,              9.241e-05,              9.241e-05,              9.241e-05
                     25,                0.81031,                 1.8773,                 1.1633,                  1.143,                 0.8338,                0.82938,                 0.8516,                0.70051,                 0.8333,                0.82938,                0.84885,                0.67799,                0.65036,                  1.132,                0.78311,                 1.0103,              9.208e-05,              9.208e-05,              9.208e-05
                     26,                0.80885,                 1.8726,                 1.1584,                 1.1416,                0.84749,                0.83093,                 0.8574,                0.71136,                0.85317,                0.83089,                0.85246,                0.68426,                0.64063,                 1.1307,                0.76008,                 1.0004,              9.175e-05,              9.175e-05,              9.175e-05
                     27,                0.80615,                 1.8659,                 1.1529,                 1.1399,                0.84236,                0.83136,                0.85464,                0.70997,                0.84752,                0.82926,                0.85298,                0.68453,                 0.6464,                 1.1213,                0.76291,                 1.0051,              9.142e-05,              9.142e-05,              9.142e-05
                     28,                0.80801,                 1.8754,                 1.1511,                 1.1414,                0.84167,                 0.8328,                 0.8542,                0.70965,                0.84508,                 0.8292,                0.85042,                0.68372,                0.63919,                 1.1304,                0.76167,                 1.0009,              9.109e-05,              9.109e-05,              9.109e-05
                     29,                0.80401,                  1.858,                 1.1416,                 1.1385,                0.85227,                0.82953,                0.85811,                0.71384,                0.85131,                0.82768,                0.85344,                0.68634,                0.63669,                 1.1195,                 0.7555,                 1.0047,              9.076e-05,              9.076e-05,              9.076e-05
                     30,                0.80706,                 1.8676,                 1.1496,                 1.1398,                 0.8467,                0.82973,                0.85651,                0.71299,                0.84799,                0.82745,                0.85324,                0.68396,                 0.6381,                 1.1286,                0.75211,                 1.0052,              9.043e-05,              9.043e-05,              9.043e-05
                     31,                 0.8017,                 1.8548,                 1.1355,                 1.1369,                0.84813,                0.83077,                0.85511,                0.71381,                0.84767,                0.83218,                0.85156,                 0.6839,                0.63502,                 1.1275,                0.74916,                 1.0036,               9.01e-05,               9.01e-05,               9.01e-05
                     32,                0.80097,                 1.8519,                 1.1325,                 1.1357,                0.83813,                0.83746,                0.85766,                0.71512,                0.84126,                 0.8325,                0.85356,                0.68914,                0.63491,                 1.1081,                 0.7529,                  1.003,              8.977e-05,              8.977e-05,              8.977e-05
                     33,                0.80208,                 1.8479,                 1.1286,                 1.1363,                0.84199,                 0.8339,                0.85844,                0.71569,                0.84796,                0.82846,                0.85468,                0.68822,                0.62831,                 1.1087,                0.75149,                 0.9996,              8.944e-05,              8.944e-05,              8.944e-05
