                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.48632,                0.88393,                0.56742,                0.98746,                0.84777,                0.84888,                0.87512,                0.75409,                0.84727,                0.85022,                0.87281,                0.72554,                0.52165,                 1.1319,                0.61574,                 1.0021,              0.0007624,              0.0007624,              0.0007624
                     26,                0.48144,                0.87744,                0.56507,                0.98615,                0.84882,                0.84136,                0.87372,                0.75827,                0.85284,                0.84568,                0.87638,                0.72499,                0.51823,                 1.0931,                0.61101,                 1.0015,              0.0007525,              0.0007525,              0.0007525
                     27,                 0.4773,                0.86994,                0.55446,                0.98242,                0.85202,                0.84309,                0.87623,                0.76168,                0.85423,                 0.8466,                0.87521,                0.72692,                0.51598,                 1.1184,                0.61417,                0.99458,              0.0007426,              0.0007426,              0.0007426
                     28,                0.47984,                0.86826,                0.55223,                0.98514,                0.82964,                0.85986,                  0.872,                0.75592,                0.83742,                0.85884,                0.87268,                0.72482,                0.51534,                 1.1168,                 0.6191,                 1.0027,              0.0007327,              0.0007327,              0.0007327
                     29,                0.47356,                0.86137,                 0.5394,                0.97967,                0.83159,                0.85979,                 0.8732,                 0.7559,                0.83514,                0.85952,                0.87317,                  0.724,                0.51116,                 1.1275,                0.61619,                0.99866,              0.0007228,              0.0007228,              0.0007228
                     30,                0.47084,                0.85413,                 0.5375,                0.97674,                0.84164,                0.84609,                0.87358,                 0.7604,                0.84344,                0.84832,                 0.8724,                0.72615,                0.50427,                 1.1202,                0.61548,                0.99715,              0.0007129,              0.0007129,              0.0007129
                     31,                0.46664,                0.85013,                0.52918,                0.97496,                0.81635,                0.86371,                0.87221,                0.75944,                0.84197,                0.84345,                0.87334,                0.72436,                0.50537,                 1.1301,                0.61722,                 1.0058,               0.000703,               0.000703,               0.000703
                     32,                0.46261,                0.83822,                 0.5238,                0.97231,                0.82559,                0.86727,                0.87285,                0.75481,                0.82638,                0.86926,                0.87385,                0.72289,                0.51218,                 1.1333,                0.61943,                 1.0041,              0.0006931,              0.0006931,              0.0006931
                     33,                0.46291,                0.82887,                0.51646,                 0.9725,                0.84191,                0.85188,                0.86988,                0.75415,                0.84322,                0.85639,                0.87273,                0.72271,                0.50789,                 1.1525,                0.63012,                0.99833,              0.0006832,              0.0006832,              0.0006832
                     34,                0.45776,                0.83072,                0.50685,                0.96702,                0.82854,                 0.8559,                0.87048,                0.75551,                0.82793,                0.85921,                0.87046,                0.72445,                0.50766,                 1.1821,                 0.6308,                0.99623,              0.0006733,              0.0006733,              0.0006733
                     35,                0.45291,                0.82111,                0.50623,                0.96718,                0.82781,                0.86062,                0.87079,                0.75475,                0.82414,                0.87176,                0.87132,                0.72553,                0.50113,                 1.1627,                0.62501,                0.99428,              0.0006634,              0.0006634,              0.0006634
                     36,                0.45148,                 0.8159,                0.49962,                0.96365,                 0.8462,                0.85353,                0.87388,                0.75734,                 0.8463,                0.85456,                0.87348,                0.72619,                0.49988,                 1.1502,                0.61875,                0.99472,              0.0006535,              0.0006535,              0.0006535
                     37,                0.44733,                 0.8002,                0.49244,                0.96081,                0.84098,                0.84972,                0.86966,                0.75624,                0.84376,                0.84485,                0.86986,                0.72271,                0.50518,                  1.186,                 0.6312,                 1.0008,              0.0006436,              0.0006436,              0.0006436
                     38,                0.44866,                0.80409,                 0.4926,                0.96265,                0.83888,                0.85144,                0.86991,                 0.7548,                0.84012,                0.85102,                0.86994,                0.72284,                0.50803,                 1.2025,                0.62973,                 1.0024,              0.0006337,              0.0006337,              0.0006337
                     39,                 0.4437,                0.79946,                0.48671,                0.95927,                0.83648,                0.85161,                0.87007,                0.75298,                0.83614,                 0.8521,                0.86867,                0.72036,                0.51205,                 1.2186,                0.62404,                 1.0048,              0.0006238,              0.0006238,              0.0006238
