                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.48183,                 0.8583,                0.52877,                0.95772,                0.81481,                0.87565,                0.87061,                0.74808,                0.84269,                0.85489,                 0.8725,                0.72135,                0.52665,                 1.1304,                0.61986,                0.94401,              0.0007624,              0.0007624,              0.0007624
                     26,                0.48028,                0.85069,                0.52455,                0.95948,                0.83153,                0.86824,                0.87346,                0.75246,                0.83545,                 0.8697,                0.87399,                0.72217,                0.51678,                 1.1445,                0.61962,                0.94498,              0.0007525,              0.0007525,              0.0007525
                     27,                0.47584,                0.84193,                0.51717,                0.95602,                0.84577,                 0.8536,                 0.8726,                0.75468,                0.83301,                0.87046,                0.87387,                0.72367,                 0.5187,                 1.1613,                0.62907,                0.95192,              0.0007426,              0.0007426,              0.0007426
                     28,                0.47042,                0.83165,                0.50819,                0.95218,                0.83904,                0.86671,                0.87427,                0.75275,                0.84068,                 0.8662,                0.87259,                0.72054,                0.51653,                 1.1656,                0.60494,                   0.95,              0.0007327,              0.0007327,              0.0007327
                     29,                0.46697,                0.82331,                0.50296,                0.95062,                0.83875,                0.85179,                0.87194,                0.75259,                0.84009,                0.85492,                0.87199,                0.72238,                0.51358,                 1.1709,                0.62283,                0.94816,              0.0007228,              0.0007228,              0.0007228
                     30,                0.46473,                0.82786,                0.49802,                0.94941,                0.83422,                0.86317,                0.87158,                0.75253,                 0.8378,                0.86303,                 0.8704,                0.72077,                 0.5179,                 1.1876,                0.60928,                0.94935,              0.0007129,              0.0007129,              0.0007129
                     31,                 0.4638,                0.81855,                0.49487,                 0.9491,                0.83526,                 0.8603,                0.87055,                0.75031,                0.84475,                0.85828,                0.86898,                0.71765,                0.52109,                 1.2211,                0.62502,                0.95264,               0.000703,               0.000703,               0.000703
                     32,                 0.4612,                0.81406,                0.49443,                 0.9462,                0.84578,                 0.8596,                0.86974,                0.74747,                0.84667,                 0.8572,                0.86984,                0.71562,                0.52248,                 1.2075,                0.61133,                0.95129,              0.0006931,              0.0006931,              0.0006931
                     33,                 0.4565,                0.80783,                0.48478,                 0.9446,                0.83683,                0.86619,                0.87321,                0.75258,                0.83726,                0.86725,                0.87146,                0.72195,                0.51782,                 1.2094,                0.62322,                0.95132,              0.0006832,              0.0006832,              0.0006832
                     34,                0.45518,                0.80217,                0.47794,                0.94114,                0.84115,                0.86037,                0.87042,                0.75099,                0.84572,                0.86258,                0.87251,                 0.7191,                0.51493,                 1.2161,                0.61473,                0.94407,              0.0006733,              0.0006733,              0.0006733
                     35,                0.45273,                 0.7963,                0.47744,                0.94434,                0.83955,                0.85423,                  0.869,                0.75049,                0.84452,                0.85828,                0.87196,                 0.7191,                 0.5168,                 1.2264,                0.61687,                0.95118,              0.0006634,              0.0006634,              0.0006634
                     36,                0.45016,                0.78962,                0.47199,                0.94111,                0.84652,                0.85385,                0.87151,                0.74934,                0.85007,                0.85688,                0.87148,                0.72104,                0.51463,                 1.2327,                0.61962,                0.94737,              0.0006535,              0.0006535,              0.0006535
                     37,                0.44945,                0.78218,                0.47101,                0.93907,                0.84588,                 0.8554,                0.87193,                0.74935,                 0.8479,                0.85502,                0.87326,                0.71959,                 0.5169,                 1.2256,                 0.6322,                0.95423,              0.0006436,              0.0006436,              0.0006436
                     38,                0.44899,                0.79034,                0.46464,                0.94033,                0.84205,                0.85828,                0.86937,                0.74941,                  0.844,                0.86094,                0.87172,                0.71984,                0.51414,                 1.2437,                0.62629,                0.95446,              0.0006337,              0.0006337,              0.0006337
                     39,                0.44081,                0.77173,                0.45719,                0.93564,                0.84154,                0.85391,                0.87096,                0.75053,                0.84371,                0.85602,                0.87274,                0.72036,                0.51948,                 1.2341,                0.62322,                0.95862,              0.0006238,              0.0006238,              0.0006238
                     40,                0.43962,                0.77085,                0.45388,                0.93406,                0.82842,                0.86769,                  0.871,                0.74993,                0.83969,                0.85601,                0.87249,                 0.7198,                0.51646,                 1.2781,                0.62733,                0.95635,              0.0006139,              0.0006139,              0.0006139
                     41,                0.43634,                0.76691,                0.45322,                0.93474,                0.83776,                0.85951,                0.87042,                0.75135,                0.83795,                0.85895,                0.87142,                0.72005,                0.51781,                 1.2873,                0.63048,                0.95919,               0.000604,               0.000604,               0.000604
                     42,                0.43488,                0.75809,                 0.4459,                0.93208,                0.83949,                0.86443,                0.87137,                0.75069,                0.84388,                0.85751,                0.87114,                   0.72,                 0.5198,                 1.2887,                0.62869,                0.96133,              0.0005941,              0.0005941,              0.0005941
                     43,                0.43205,                0.75596,                 0.4423,                0.93075,                0.84104,                0.85865,                0.87035,                0.74915,                0.84557,                0.85598,                0.87039,                0.71878,                0.52012,                 1.3025,                0.62562,                0.96315,              0.0005842,              0.0005842,              0.0005842
                     44,                0.42954,                0.75153,                0.43573,                0.92938,                0.84886,                0.85089,                0.86975,                 0.7511,                0.84845,                0.85092,                0.86954,                 0.7195,                0.52149,                 1.3071,                0.62885,                 0.9638,              0.0005743,              0.0005743,              0.0005743
                     45,                0.42869,                0.74901,                0.43416,                0.92863,                0.84614,                0.84694,                0.86836,                0.75007,                0.84593,                0.84828,                0.86873,                 0.7193,                0.52078,                 1.3072,                0.63149,                0.96284,              0.0005644,              0.0005644,              0.0005644
                     46,                0.42882,                0.74525,                0.43442,                0.92909,                0.84405,                0.85247,                0.86812,                0.74849,                0.84642,                0.85281,                0.86929,                0.71797,                0.52256,                 1.3106,                0.63247,                 0.9652,              0.0005545,              0.0005545,              0.0005545
                     47,                 0.4252,                 0.7383,                 0.4297,                0.92549,                0.84017,                0.85325,                0.86784,                0.74974,                0.84067,                0.85412,                0.86867,                0.71879,                0.52307,                  1.315,                0.62818,                0.96714,              0.0005446,              0.0005446,              0.0005446
